rgn_id,level,label
1.0,r2,Southern Europe
1.0,r1,Europe
1.0,r0,World
2.0,r2,Southern Europe
2.0,r1,Europe
2.0,r0,World
3.0,r2,Southern Europe
3.0,r1,Europe
3.0,r0,World
4.0,r2,Southern Europe
4.0,r1,Europe
4.0,r0,World
5.0,r2,Southern Europe
5.0,r1,Europe
5.0,r0,World
6.0,r2,Southern Europe
6.0,r1,Europe
6.0,r0,World
7.0,r2,Southern Europe
7.0,r1,Europe
7.0,r0,World
8.0,r2,Southern Europe
8.0,r1,Europe
8.0,r0,World
9.0,r2,Southern Europe
9.0,r1,Europe
9.0,r0,World
10.0,r2,Southern Europe
10.0,r1,Europe
10.0,r0,World
